"job_id","job_title","salary_year_avg","company_name","skills"
159866,"Research Engineer, Science","177283.0","DeepMind","python"
159866,"Research Engineer, Science","177283.0","DeepMind","c++"
159866,"Research Engineer, Science","177283.0","DeepMind","pandas"
159866,"Research Engineer, Science","177283.0","DeepMind","numpy"
159866,"Research Engineer, Science","177283.0","DeepMind","tensorflow"
159866,"Research Engineer, Science","177283.0","DeepMind","pytorch"
258461,"Data Architect","165000.0","AND Digital","sql"
258461,"Data Architect","165000.0","AND Digital","python"
258461,"Data Architect","165000.0","AND Digital","scala"
258461,"Data Architect","165000.0","AND Digital","r"
258461,"Data Architect","165000.0","AND Digital","mongodb"
258461,"Data Architect","165000.0","AND Digital","postgresql"
258461,"Data Architect","165000.0","AND Digital","elasticsearch"
258461,"Data Architect","165000.0","AND Digital","sql server"
258461,"Data Architect","165000.0","AND Digital","mongodb"
258461,"Data Architect","165000.0","AND Digital","azure"
258461,"Data Architect","165000.0","AND Digital","aws"
258461,"Data Architect","165000.0","AND Digital","redshift"
258461,"Data Architect","165000.0","AND Digital","oracle"
258461,"Data Architect","165000.0","AND Digital","aurora"
258461,"Data Architect","165000.0","AND Digital","hadoop"
258461,"Data Architect","165000.0","AND Digital","kafka"
1563887,"Data Architect","165000.0","Darktrace","sql"
1563887,"Data Architect","165000.0","Darktrace","mysql"
1563887,"Data Architect","165000.0","Darktrace","sql server"
1563887,"Data Architect","165000.0","Darktrace","flow"
478395,"Data Architect","163782.0","Logispin","nosql"
478395,"Data Architect","163782.0","Logispin","azure"
478395,"Data Architect","163782.0","Logispin","looker"
217504,"Analytics Engineer - ENA London, Warsaw- (F/M)","139216.0","AccorCorpo","sql"
217504,"Analytics Engineer - ENA London, Warsaw- (F/M)","139216.0","AccorCorpo","python"
307234,"Finance Data Analytics Manager","132500.0","AJ Bell","sql"
307234,"Finance Data Analytics Manager","132500.0","AJ Bell","python"
307234,"Finance Data Analytics Manager","132500.0","AJ Bell","r"
307234,"Finance Data Analytics Manager","132500.0","AJ Bell","excel"
307234,"Finance Data Analytics Manager","132500.0","AJ Bell","power bi"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","sql"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","python"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","javascript"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","vba"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","excel"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","tableau"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","looker"
178006,"Data Analyst - (Ratings Ops)","111175.0","Sylvera","sheets"
1396666,"Data Analyst - Financial services","111175.0","Version 1","sql"
1396666,"Data Analyst - Financial services","111175.0","Version 1","sas"
1396666,"Data Analyst - Financial services","111175.0","Version 1","aws"
1396666,"Data Analyst - Financial services","111175.0","Version 1","oracle"
1396666,"Data Analyst - Financial services","111175.0","Version 1","hadoop"
1396666,"Data Analyst - Financial services","111175.0","Version 1","sas"
4851,"Business Intelligence Data Analyst","111175.0","Ocorian","excel"
4851,"Business Intelligence Data Analyst","111175.0","Ocorian","tableau"
4851,"Business Intelligence Data Analyst","111175.0","Ocorian","powerpoint"
